=== DUPLICATE STUBS (appear in 2+ files) ===
6x  [lurek.filled and outlined]  in: render_00.lua, render_00.lua, render_00.lua, render_00.lua, render_00.lua, render_00.lua
2x  [LMod:getCapabilities]  in: mods_00.lua, mods_02.lua
2x  [lurek.runtime.getPowerInfo]  in: system_00.lua, system_01.lua
2x  [LDockPanel:undock]  in: ui_01.lua, ui_10.lua
2x  [lurek.ui.newSpinBox]  in: ui_02.lua, ui_10.lua
2x  [LScheduler:update]  in: timer_00.lua, timer_01.lua
2x  [LAccordion:addSection]  in: ui_03.lua, ui_08.lua
2x  [lurek.window.setIcon]  in: window_01.lua, window_02.lua
2x  [lurek.ui.newDockPanel]  in: ui_01.lua, ui_10.lua
2x  [LSkeletonAnimation:getEvents]  in: spine_00.lua, spine_01.lua
2x  [lurek.ui.newSwitch]  in: ui_02.lua, ui_10.lua
2x  [LMesh:typeOf]  in: render_03.lua, render_05.lua
2x  [LCatmullRom:sample]  in: math_02.lua, math_07.lua
2x  [LVec3:scale]  in: math_04.lua, math_07.lua
2x  [lurek.render.drawMany]  in: render_02.lua, render_04.lua
2x  [lurek.render.setScissor]  in: render_01.lua, render_06.lua
2x  [LVec3:dot]  in: math_04.lua, math_07.lua
2x  [LModManager:unregisterMod]  in: mods_01.lua, mods_02.lua
2x  [LTerminal:mousepressed]  in: terminal_00.lua, terminal_02.lua
2x  [LMod:getHookNames]  in: mods_00.lua, mods_02.lua
2x  [LVec3:length]  in: math_04.lua, math_07.lua
2x  [LTransform:scale]  in: math_04.lua, math_07.lua
2x  [LScheduler:afterNamed]  in: timer_00.lua, timer_01.lua
2x  [lurek.render.clear]  in: render_01.lua, render_06.lua
2x  [LImageData:getRegion]  in: image_00.lua, render_07.lua
2x  [LTabBar:getTab]  in: ui_03.lua, ui_09.lua
2x  [LMod:hasHook]  in: mods_00.lua, mods_02.lua
2x  [LVec2:distance]  in: math_04.lua, math_07.lua
2x  [LMod:setApiVersion]  in: mods_00.lua, mods_02.lua
2x  [LModManager:processReloadQueue]  in: mods_01.lua, mods_02.lua
2x  [LRandomGenerator:randomInt]  in: math_05.lua, math_06.lua
2x  [LSwitch:setOn]  in: ui_02.lua, ui_10.lua
2x  [LAabbTree:remove]  in: math_05.lua, math_07.lua
2x  [lurek.render.getDimensions]  in: render_01.lua, render_06.lua
2x  [lurek.ui.newColorPicker]  in: ui_07.lua, ui_08.lua
2x  [LVec2:normalize]  in: math_04.lua, math_07.lua
2x  [LImage:type]  in: render_02.lua, render_05.lua
2x  [LGuiTable.addColumn]  in: ui_12.lua, ui_13.lua
2x  [LSkeleton:stopAnimation]  in: spine_00.lua, spine_01.lua
2x  [LTabBar:getTabCount]  in: ui_03.lua, ui_09.lua
2x  [LSkeleton:addSlot]  in: spine_00.lua, spine_01.lua
2x  [LChannel:pushTable]  in: thread_00.lua, thread_01.lua
2x  [LGuiTable.addRow]  in: ui_12.lua, ui_13.lua
2x  [LImageData:typeOf]  in: image_00.lua, render_07.lua
2x  [lurek.ui.newTooltipPanel]  in: ui_07.lua, ui_10.lua
2x  [LSpatialHash:queryRect]  in: math_05.lua, math_07.lua
2x  [LCanvas:type]  in: render_02.lua, render_05.lua
2x  [LAabbTree:contains]  in: math_05.lua, math_07.lua
2x  [LNoiseGenerator:perlin3d]  in: math_03.lua, math_06.lua
2x  [LDoorManager:typeOf]  in: raycaster_01.lua, raycaster_02.lua
2x  [LVec2:reflect]  in: math_04.lua, math_07.lua
2x  [LContentRegistry:get]  in: mods_00.lua, mods_02.lua
2x  [LNoiseGenerator:ridged]  in: math_03.lua, math_06.lua
2x  [lurek.runtime.errorSnapshot]  in: system_00.lua, system_01.lua
2x  [LRandomGenerator:randomNormal]  in: math_05.lua, math_06.lua
2x  [LHeightMap:type]  in: raycaster_01.lua, raycaster_02.lua
2x  [LImage:release]  in: render_02.lua, render_05.lua
2x  [LMesh:getVertex]  in: render_03.lua, render_05.lua
2x  [LModManager:getLoadOrder]  in: mods_01.lua, mods_02.lua
2x  [LTabBar:setActiveTab]  in: ui_03.lua, ui_09.lua
2x  [LBezierCurve:rotate]  in: math_02.lua, math_07.lua
2x  [LSpatialHash:remove]  in: math_05.lua, math_07.lua
2x  [LSpinBox:setRange]  in: ui_02.lua, ui_10.lua
2x  [LSkeleton:getAnimationTime]  in: spine_00.lua, spine_01.lua
